sample_id,grav_soil_water_content,site,treatment,position,replicate,date_coll,regions,year
1,0.357814407,RR1,CV,B,1,20190917,RR,2019
2,0.361306657,RR1,CV,B,2,20190917,RR,2019
3,0.353050358,RR1,CV,B,3,20190917,RR,2019
4,0.363238033,RR1,SH,B,1,20190917,RR,2019
5,0.358207939,RR1,SH,B,2,20190917,RR,2019
6,0.36753433,RR1,SH,B,3,20190917,RR,2019
7,0.399257105,RR1,SH,B,1,20190917,RR,2019
9,0.398702947,RR1,SH,B,3,20190917,RR,2019
10,0.353858564,RR1,UD,B,1,20190917,RR,2019
11,0.375382127,RR1,UD,B,2,20190917,RR,2019
12,0.372875067,RR1,UD,B,3,20190917,RR,2019
13,0.311054842,RR3,CV,A,1,20190917,RR,2019
14,0.31976935,RR3,CV,A,2,20190917,RR,2019
15,0.324631535,RR3,CV,A,3,20190917,RR,2019
16,0.35207169,RR3,CV,B,1,20190917,RR,2019
17,0.33822141,RR3,CV,B,2,20190917,RR,2019
8,0.405478986,RR1,SH,B,2,20190917,RR,2019
18,0.331925435,RR3,CV,B,3,20190917,RR,2019
19,0.264423216,RR3,UD,A,1,20190917,RR,2019
20,0.27482062,RR3,UD,A,2,20190917,RR,2019
21,0.254025812,RR3,UD,A,3,20190917,RR,2019
22,0.264830844,RR3,SH,A,1,20190917,RR,2019
23,0.289183712,RR3,SH,A,2,20190917,RR,2019
24,0.270249342,RR3,SH,A,3,20190917,RR,2019
25,0.221829535,RR3,SH,B,1,20190917,RR,2019
26,0.270842788,RR3,SH,B,2,20190917,RR,2019
27,0.282219842,RR3,SH,B,3,20190917,RR,2019
28,0.192588433,ST2,CV,A,1,20191010,ST,2019
29,0.172289241,ST2,CV,A,2,20191010,ST,2019
30,0.159220417,ST2,CV,A,3,20191010,ST,2019
31,0.211193655,ST2,SH,A,1,20191010,ST,2019
32,0.208888834,ST2,SH,A,2,20191010,ST,2019
33,0.19872155,ST2,SH,A,3,20191010,ST,2019
34,0.289578531,ST2,UD,A,1,20191010,ST,2019
35,0.2968017,ST2,UD,A,2,20191010,ST,2019
36,0.270403487,ST2,UD,A,3,20191010,ST,2019
37,0.311436591,ST2,CV,B,1,20191010,ST,2019
38,0.295459559,ST2,CV,B,2,20191010,ST,2019
39,0.32393035,ST2,CV,B,3,20191010,ST,2019
40,0.252028866,ST2,SH,B,1,20191010,ST,2019
41,0.230945733,ST2,SH,B,2,20191010,ST,2019
42,0.221780949,ST2,SH,B,3,20191010,ST,2019
43,0.19570457,ST3,CV,A,1,20191010,ST,2019
44,0.195932364,ST3,CV,A,2,20191010,ST,2019
45,0.212699486,ST3,CV,A,3,20191010,ST,2019
46,0.203742374,ST3,SH,A,1,20191010,ST,2019
47,0.196629213,ST3,SH,A,2,20191010,ST,2019
48,0.213631245,ST3,SH,A,3,20191010,ST,2019
49,0.320726076,ST3,UD,A,1,20191010,ST,2019
50,0.345011215,ST3,UD,A,2,20191010,ST,2019
51,0.343408315,ST3,UD,A,3,20191010,ST,2019
52,0.2535143,ST3,CV,B,1,20191010,ST,2019
53,0.263689659,ST3,CV,B,2,20191010,ST,2019
54,0.298487487,ST3,CV,B,3,20191010,ST,2019
55,0.222257328,ST3,SH,B,1,20191010,ST,2019
56,0.174275735,ST3,SH,B,2,20191010,ST,2019
57,0.160130568,ST3,SH,B,3,20191010,ST,2019
58,0.296016413,SW1,CV,A,1,20191019,SW,2019
59,0.292058611,SW1,CV,A,2,20191019,SW,2019
60,0.294073077,SW1,CV,A,3,20191019,SW,2019
61,0.282108273,SW1,SH,A,1,20191019,SW,2019
62,0.278234597,SW1,SH,A,2,20191019,SW,2019
63,0.280328081,SW1,SH,A,3,20191019,SW,2019
64,0.290676901,SW1,UD,A,1,20191019,SW,2019
65,0.31708516,SW1,UD,A,2,20191019,SW,2019
66,0.340170375,SW1,UD,A,3,20191019,SW,2019
67,0.388207211,SW1,CV,B,1,20191019,SW,2019
68,0.364086908,SW1,CV,B,2,20191019,SW,2019
69,0.379649605,SW1,CV,B,3,20191019,SW,2019
70,0.285514462,SW1,SH,B,1,20191019,SW,2019
71,0.287768443,SW1,SH,B,2,20191019,SW,2019
72,0.290890537,SW1,SH,B,3,20191019,SW,2019
73,0.237865445,SW2,CV,A,1,20191019,SW,2019
74,0.250367647,SW2,CV,A,2,20191019,SW,2019
75,0.21539398,SW2,CV,A,3,20191019,SW,2019
76,0.197504557,SW2,SH,A,1,20191019,SW,2019
77,0.200760412,SW2,SH,A,2,20191019,SW,2019
78,0.210554147,SW2,SH,A,3,20191019,SW,2019
79,0.282713541,SW2,UD,A,1,20191019,SW,2019
