sh_run_date,vial_number,sample_id,type,dilution_factor,prep_flag
20201229,0,std,std,,
20201229,1,28,b,,
20201229,2,28,c,,
20201229,3,29,b,,
20201229,4,29,c,,
20201229,5,30,b,,
20201229,6,30,c,,
20201229,7,45,b,,
20201229,8,45,c,,
20201229,9,46,b,,
20201229,10,46,c,,
20201229,11,47,b,,
20201229,12,47,c,,
20201229,13,48,b,,
20201229,14,48,c,,
20201229,15,49,b,0.5,
20201229,16,49,c,0.5,
20201229,17,50,b,0.5,
20201229,18,50,c,0.5,
20201229,19,51,b,0.5,
20201229,20,51,c,0.5,
20201229,21,52,b,,
20201229,22,52,c,,
20201229,23,53,b,,
20201229,24,53,c,,
20201229,25,54,b,,
20201229,26,54,c,,
20201229,27,55,b,,
20201229,28,55,c,,
20201229,29,56,b,,
20201229,30,56,c,,
20201229,31,std,std,,
20201229,32,57,b,,
20201229,33,57,c,,
20201229,34,58,b,,
20201229,35,58,c,,
20201229,36,blank_b_20191018,b,,
20201229,37,blank_c_20191018,c,,
20201229,38,59,b,,
20201229,39,59,c,,
20201229,40,60,b,,
20201229,41,60,c,,
20201229,42,61,b,,
20201229,43,61,c,,
20201229,44,62,b,,
20201229,45,62,c,,
20201229,46,63,b,,
20201229,47,63,c,,
20201229,48,64,b,0.5,
20201229,49,64,c,0.5,
20201229,50,65,b,0.5,
20201229,51,65,c,0.5,
20201229,52,66,b,0.5,
20201229,53,66,c,0.5,
20201229,54,67,b,,
20201229,55,67,c,,
20201229,56,68,b,,
20201229,57,68,c,,
20201229,58,69,b,,
20201229,59,69,c,,
20201229,60,70,b,,
20201229,61,std,std,,
20201229,62,70,c,,
20201229,63,71,b,,
20201229,64,71,c,,
20201229,65,72,b,,
20201229,66,72,c,,
20201229,67,73,b,,
20201229,68,73,c,,
20201229,69,74,b,,
20201229,70,74,c,,
20201229,71,75,b,,
20201229,72,75,c,,
20201229,73,76,b,,
20201229,74,76,c,,
20201229,75,77,b,,
20201229,76,77,c,,
20201229,77,78,b,,
20201229,78,78,c,,
20201229,79,79,b,0.5,
20201229,80,79,c,0.5,
20201229,81,80,b,0.5,
20201229,82,80,c,0.5,
20201229,83,81,b,0.5,
20201229,84,81,c,0.5,
20201229,85,82,b,,
20201229,86,82,c,,
20201229,87,83,b,,
20201229,88,83,c,,
20201229,89,84,b,,
20201229,90,84,c,,
20201229,91,std,std,,
20210115,1,std,std,,
20210115,2,0,b,,
20210115,3,0,c,,
20210115,4,1,b,0.5,
20210115,5,1,c,0.5,
20210115,6,2,b,0.5,
20210115,7,2,c,0.5,
20210115,8,3,b,0.5,
20210115,9,3,c,0.5,
20210115,10,4,b,0.5,
20210115,11,5,b,0.5,
20210115,12,5,c,0.5,
20210115,13,6,b,0.5,
20210115,14,6,c,0.5,
20210115,15,7,b,0.5,
20210115,16,7,c,0.5,
20210115,17,8,b,0.5,
20210115,18,8,c,0.5,
20210115,19,9,b,0.5,
20210115,20,9,c,0.33,
20210115,21,10,b,0.5,
20210115,22,10,c,0.5,
20210115,23,11,b,0.5,
20210115,24,11,c,0.5,
20210115,25,12,b,0.5,
20210115,26,12,c,0.5,
20210115,27,13,b,0.5,
20210115,28,13,c,0.5,
20210115,29,14,b,0.5,
20210115,30,14,c,0.5,
20210115,31,std,std,,
20210115,32,15,c,0.5,
20210115,33,16,b,0.5,
20210115,34,16,c,0.5,
20210115,35,17,b,0.5,
20210115,36,17,c,0.5,
20210115,37,18,b,0.5,
20210115,38,18,c,0.5,
20210115,39,19,b,0.5,
20210115,40,19,c,0.5,
20210115,41,20,b,0.5,
20210115,42,20,c,0.5,
20210115,43,21,b,0.5,
20210115,44,21,c,0.5,
20210115,45,22,b,0.5,
20210115,46,15,b,0.5,
20210115,47,22,c,0.5,
20210115,48,23,b,0.5,
