sample_id,type,mass
1,b,10.05
1,c,10
2,b,9.97
2,c,10.03
3,b,10.02
3,c,9.96
4,b,10.04
4,c,10.03
5,b,9.97
5,c,9.96
6,b,9.95
6,c,10
7,b,10
7,c,10
8,b,10
8,c,10
9,b,10
9,c,10
10,b,9.97
10,c,9.97
11,b,10
11,c,10
12,b,10.02
12,c,10.05
13,b,10
13,c,10
14,b,10
14,c,10
15,b,10
15,c,10
16,b,10
16,c,10
17,b,9.96
17,c,9.97
18,b,10.02
18,c,9.99
19,b,10.02
19,c,10
20,b,9.96
20,c,9.99
21,b,10
21,c,9.96
22,b,9.97
22,c,9.97
23,b,9.98
23,c,10
24,b,10.05
24,c,9.96
25,b,9.96
25,c,9.98
26,b,10.02
26,c,9.99
27,b,9.96
27,c,10.02
28,b,9.9663
28,c,10.0161
29,b,10.0323
29,c,10.0162
30,b,9.9964
30,c,9.961
31,b,10.0251
31,c,9.9545
32,b,9.9687
32,c,9.9764
33,b,10.0027
33,c,9.9894
34,b,10.0174
34,c,9.9638
35,b,10.0484
35,c,9.9547
36,b,9.9701
36,c,9.9677
37,b,9.9657
37,c,9.9657
38,b,10.0199
38,c,10.0427
39,b,10.0346
39,c,9.9589
40,b,9.9892
40,c,10.0159
41,b,9.99
41,c,10.0058
42,b,10
42,c,10.0117
43,b,9.9969
43,c,9.9961
44,b,10.0454
44,c,9.9687
45,b,10.018
45,c,10.05
46,b,9.9644
46,c,9.9521
47,b,9.9586
47,c,10.0281
48,b,10.0046
48,c,9.9551
49,b,9.9545
49,c,10.0355
50,b,9.9839
50,c,10.0086
51,b,9.9713
51,c,9.9806
52,b,9.9634
52,c,9.9938
53,b,10.0357
53,c,9.9839
54,b,10.0238
54,c,10.0483
55,b,9.9977
55,c,9.9542
56,b,9.9757
56,c,9.9585
57,b,10.0068
57,c,9.9719
58,b,10.04
58,c,10.01
59,b,10.02
59,c,10.05
60,b,10.02
60,c,10.05
61,b,10.01
61,c,10.02
62,b,10.05
62,c,10.01
63,b,10.01
63,c,10.04
64,b,10.05
64,c,10.02
65,b,10.01
65,c,10
66,b,10.04
66,c,10.06
67,b,10.05
67,c,10.01
68,b,10
68,c,9.97
69,b,10
69,c,10.03
70,b,10.05
70,c,10.03
71,b,10.03
71,c,10.01
72,b,10.04
72,c,10.05
73,b,10.0154
73,c,9.9929
74,b,9.9619
74,c,9.9902
75,b,10.0006
75,c,10.0293
76,b,9.9709
76,c,10.0506
77,b,9.9876
77,c,10.001
78,b,9.9763
78,c,10.0183
79,b,9.983
79,c,9.9727
80,b,10.0452
80,c,10.0447
81,b,10.0017
81,c,10.0104
82,b,9.9997
82,c,9.9981
83,b,10.0102
83,c,9.9686
84,b,10.0323
84,c,9.9829
85,b,9.9799
85,c,9.9796
86,b,9.9837
86,c,9.9932
87,b,10.0262
87,c,9.9938
88,b,10.0474
88,c,9.9757
89,b,9.9919
89,c,9.9989
90,b,9.99
90,c,9.9795
91,b,10.0408
91,c,10.001
92,b,10.0157
92,c,9.9954
93,b,10.0211
93,c,10.0083
94,b,10.0183
94,c,9.994
95,b,9.9838
95,c,10.0046
96,b,9.9765
96,c,9.9977
97,b,10.011
97,c,10.0069
98,b,9.985
98,c,9.9857
99,b,9.9621
99,c,10.002
100,b,9.9668
100,c,9.972
101,b,10.0096
101,c,10.0139
102,b,9.9939
102,c,9.9809
103,b,9.974
103,c,9.981
104,b,9.9669
104,c,10.0433
105,b,10.011
105,c,10.0267
106,b,9.9627
106,c,9.9806
107,b,10.0063
107,c,9.971
108,b,9.9844
108,c,9.9649
109,b,9.9813
109,c,9.9731
110,b,9.9865
110,c,10.0256
111,b,9.99
111,c,9.9841
112,b,9.9918
112,c,9.9657
113,b,9.9637
113,c,10.05
114,b,10.0129
114,c,9.9624
115,b,9.9805
115,c,9.9728
116,b,10.0442
116,c,9.9674
117,b,10.0115
117,c,9.9777
118,b,9.9889
118,c,9.9895
119,b,9.9985
119,c,10.0108
120,b,9.9708
120,c,10.0236
121,b,9.9806
121,c,9.987
122,b,9.956
122,c,10.0211
123,b,10.0232
123,c,9.9995
124,b,10.051
124,c,9.9632
125,b,9.9902
125,c,10.0054
126,b,10.0087
126,c,9.9736
127,b,10.0058
127,c,10.0017
128,b,9.9652
128,c,9.9986
129,b,9.9838
129,c,9.9619
130,b,9.988
130,c,10.0001
131,b,10.003
131,c,10.0094
132,b,9.9586
132,c,9.9501
133,b,9.9856
133,c,9.9968
134,b,9.9984
134,c,9.9598
135,b,9.9649
135,c,9.9745
136,b,9.9586
136,c,10.0297
137,b,10.0189
137,c,10.0506
138,b,9.9697
138,c,10.0453
139,b,10.04
139,c,9.9733
140,b,9.9935
140,c,10.024
141,b,9.9806
141,c,10.0126
142,b,10.0308
142,c,10.0148
143,b,10.0436
143,c,10.0045
144,b,10.0441
144,c,10.0323
145,b,10.0254
145,c,9.9948
146,b,10.0341
146,c,10.0467
147,b,10.0282
147,c,10.0124
148,b,10.007
148,c,10.0206
149,b,10.0018
149,c,10.0077
150,b,10.037
150,c,10.0273
151,b,10.05
151,c,10.0457
152,b,10.0369
152,c,10.0342
153,b,10.0094
153,c,10.0428
154,b,10.0193
154,c,10.045
155,b,10.043
155,c,10.05
156,b,10.0475
156,c,9.9994
157,b,10.0467
157,c,10.0051
158,b,10.0322
158,c,9.9847
159,b,10.019
159,c,10.0368
160,b,9.97
160,c,9.963
161,b,10.0202
161,c,9.9801
162,b,10.0176
162,c,10.0218
163,b,10.0394
163,c,10.0293
164,b,10.05
164,c,9.9755
165,b,9.9895
165,c,9.9828
166,b,10.0404
166,c,9.9889
167,b,9.9884
167,c,10.0212
168,b,10.0469
168,c,10.0258
169,b,10.05
169,c,10.0474
170,b,10.04
170,c,10.0169
171,b,10.0225
171,c,10.03
172,b,10.0359
172,c,10.0038
173,b,9.9651
173,c,9.9938
174,b,9.9648
174,c,9.979
175,b,10.021
175,c,10.0326
176,b,9.9789
176,c,9.9624
177,b,10.0198
177,c,9.9615
178,b,9.9816
178,c,9.9789
179,b,9.9687
179,c,9.9859
180,b,9.9915
180,c,9.9837
181,b,9.9917
181,c,9.9718
182,b,10.0021
182,c,9.9736
183,b,9.9813
183,c,9.9769
184,b,9.9903
184,c,9.9663
185,b,9.9996
185,c,9.9598
186,b,9.9872
186,c,9.9727
187,b,10.0096
187,c,10.0017
188,b,9.9885
188,c,9.9588
189,b,9.9767
189,c,10.0031
190,b,9.9684
190,c,9.9743
191,b,10.0075
191,c,9.9797
192,b,10.0223
192,c,9.9946
193,b,9.979
