[Header]	
System	NPOC-TN	
S/W Version	1.00	
User	Grossman	
Date/Time	5/2/2021 11:43:54 AM	

[System]	
Instrument Options	TOC/ASI/TN/	

[Data]	
Type	Sample Name	Sample ID	Cal. Curve	Date / Time	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Vial	Excluded	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:15:07 PM	1	NPOC	2.263	0.4078	0.9917	0.1787	NPOC:0.1787mg/L TN:0.01058mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:17:24 PM	2	NPOC	0.7016	0.4078	0.3075	0.1787	NPOC:0.1787mg/L TN:0.01058mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:19:29 PM	3	NPOC	0.1140	0.4078	0.04996	0.1787	NPOC:0.1787mg/L TN:0.01058mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:15:07 PM	1	TN	0.1613	0.09715	0.01757	0.01058	NPOC:0.1787mg/L TN:0.01058mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:17:24 PM	2	TN	0.03300	0.09715	0.00359	0.01058	NPOC:0.1787mg/L TN:0.01058mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:26:13 PM	1	NPOC	0.1579	0.1309	0.06920	0.05737	NPOC:0.05737mg/L TN:0.02062mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:28:40 PM	2	NPOC	0.1039	0.1309	0.04553	0.05737	NPOC:0.05737mg/L TN:0.02062mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:26:13 PM	1	TN	0.1564	0.1893	0.01703	0.02062	NPOC:0.05737mg/L TN:0.02062mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:28:40 PM	2	TN	0.2222	0.1893	0.02420	0.02062	NPOC:0.05737mg/L TN:0.02062mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:35:29 PM	1	NPOC	0.000	0.02630	0.000	0.01153	NPOC:0.01153mg/L TN:0.00382mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:37:34 PM	2	NPOC	0.05260	0.02630	0.02305	0.01153	NPOC:0.01153mg/L TN:0.00382mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:35:29 PM	1	TN	0.4962	0.03505	0.05404	0.00382	NPOC:0.01153mg/L TN:0.00382mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:37:34 PM	2	TN	0.07010	0.03505	0.00764	0.00382	NPOC:0.01153mg/L TN:0.00382mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:42:53 PM	3	TN	0.000	0.03505	0.000	0.00382	NPOC:0.01153mg/L TN:0.00382mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:49:43 PM	1	NPOC	0.1245	0.1595	0.05456	0.06990	NPOC:0.06990mg/L TN:0.01969mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:51:48 PM	2	NPOC	0.1945	0.1595	0.08524	0.06990	NPOC:0.06990mg/L TN:0.01969mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:49:43 PM	1	TN	0.2090	0.1808	0.02276	0.01969	NPOC:0.06990mg/L TN:0.01969mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:51:48 PM	2	TN	0.1525	0.1808	0.01661	0.01969	NPOC:0.06990mg/L TN:0.01969mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 5:58:36 PM	1	NPOC	0.06510	0.1169	0.02853	0.05123	NPOC:0.05123mg/L TN:0.00681mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_00_50_02.cal	4/9/2021 6:00:41 PM	2	NPOC	0.1687	0.1169	0.07393	0.05123	NPOC:0.05123mg/L TN:0.00681mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 5:58:36 PM	1	TN	0.6327	0.06250	0.06891	0.00681	NPOC:0.05123mg/L TN:0.00681mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 6:00:41 PM	2	TN	0.02790	0.06250	0.00304	0.00681	NPOC:0.05123mg/L TN:0.00681mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_01_57_11.cal	4/9/2021 6:06:00 PM	3	TN	0.09710	0.06250	0.01058	0.00681	NPOC:0.05123mg/L TN:0.00681mg/L	0	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:12:50 PM	1	NPOC	0.1816	0.1781	0.000	 	 	0	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:14:56 PM	2	NPOC	0.1746	0.1781	0.000	 	 	0	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:24:10 PM	1	NPOC	5.699	5.706	2.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:26:15 PM	2	NPOC	5.713	5.706	2.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:33:58 PM	1	NPOC	10.52	11.27	4.000	 	 	1	1	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:36:04 PM	2	NPOC	11.23	11.27	4.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:38:16 PM	3	NPOC	11.31	11.27	4.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:45:50 PM	1	NPOC	17.03	16.84	6.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:48:01 PM	2	NPOC	16.64	16.84	6.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:55:41 PM	1	NPOC	21.94	22.55	8.000	 	 	1	1	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 6:58:02 PM	2	NPOC	22.64	22.55	8.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 7:00:11 PM	3	NPOC	22.45	22.55	8.000	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 7:08:11 PM	1	NPOC	28.44	28.19	10.00	 	 	1	0	
Standard	AUTO 0-10 TOC	NPOC Std 1		4/9/2021 7:10:36 PM	2	NPOC	27.94	28.19	10.00	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:14:16 PM	1	TN	0.1060	0.07995	0.000	 	 	0	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:16:46 PM	2	TN	0.4232	0.07995	0.000	 	 	0	1	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:18:47 PM	3	TN	0.05390	0.07995	0.000	 	 	0	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:27:16 PM	1	TN	16.62	16.64	2.000	 	 	1	0	
